City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,40,AR,1537804800,74,-54.81,-68.31,41.0,21.92
Road Town,40,VG,1537804800,66,18.42,-64.62,89.6,11.41
Paita,0,PE,1537804800,290,-5.09,-81.11,62.6,10.29
Saldanha,0,PT,1537807857,39,41.42,-6.55,79.23,4.97
Shangzhi,12,CN,1537807857,99,45.21,127.96,44.58,5.08
Chuy,12,UY,1537807354,82,-33.69,-53.46,66.54,11.34
Rikitea,32,PF,1537807858,100,-23.12,-134.97,68.34,13.8
Dingle,32,PH,1537807286,93,11.0,122.67,73.2,5.3
Punta Arenas,0,CL,1537804800,45,-53.16,-70.91,42.8,8.05
Kahului,1,US,1537804800,90,20.89,-156.47,73.4,4.7
Surgut,0,RU,1537804800,100,61.25,73.4,55.4,6.71
Formosa do Rio Preto,80,BR,1537807859,44,-11.04,-45.19,91.74,10.56
Cape Town,20,ZA,1537804800,82,-33.93,18.42,60.8,13.87
Pangnirtung,40,CA,1537804800,47,66.15,-65.72,35.6,6.93
Butaritari,48,KI,1537807859,100,3.07,172.79,81.48,7.43
Busselton,12,AU,1537807859,100,-33.64,115.35,58.89,10.67
Aksarka,32,RU,1537807287,89,66.56,67.8,49.89,8.66
Paicol,48,CO,1537807860,46,2.45,-75.77,81.84,2.84
Tuktoyaktuk,90,CA,1537803780,86,69.44,-133.03,26.6,6.93
Jamestown,0,AU,1537807721,80,-33.21,138.6,36.93,5.19
Bonthe,80,SL,1537807860,99,7.53,-12.5,76.62,4.41
Alofi,92,NU,1537804800,93,-19.06,-169.92,66.2,2.24
Mar del Plata,88,AR,1537807849,83,-46.43,-67.52,41.7,6.98
Ginir,92,ET,1537807861,32,7.14,40.71,72.66,6.2
Nishihara,75,JP,1537806600,94,35.74,139.53,73.4,5.82
Saint George,0,GR,1537806000,65,39.45,22.34,78.8,4.63
Bethel,90,US,1537806780,100,60.79,-161.76,46.04,4.7
Half Moon Bay,20,US,1537804560,80,37.46,-122.43,60.98,2.51
Bereda,0,ES,1537806600,60,43.27,-7.54,68.0,16.11
Victoria,75,BN,1537806600,94,5.28,115.24,80.6,3.18
Adrar,40,DZ,1537804800,28,27.87,-0.29,95.0,9.17
Hermanus,20,ZA,1537807865,80,-34.42,19.24,55.74,2.51
Tomatlan,44,MX,1537807865,64,19.93,-105.25,85.98,3.4
Podosinovets,44,RU,1537807866,93,60.28,47.06,47.46,6.2
Saint Anthony,1,US,1537804560,10,43.97,-111.68,46.94,11.41
Hithadhoo,64,MV,1537807428,100,-0.6,73.08,82.92,6.2
Airai,0,TL,1537807866,86,-8.93,125.41,62.13,1.72
Bredasdorp,0,ZA,1537804800,72,-34.53,20.04,66.2,5.82
Vaini,64,IN,1537807867,93,15.34,74.49,72.12,2.95
Barrow,44,AR,1537807867,48,-38.31,-60.23,64.56,6.2
Prince Rupert,90,CA,1537806900,93,54.32,-130.32,55.4,5.82
Pacific Grove,90,US,1537807320,96,36.62,-121.92,57.2,3.36
Kyrksaeterora,40,NO,1537806000,75,63.29,9.09,44.6,18.34
Kamaishi,88,JP,1537807868,96,39.28,141.86,64.11,2.95
U Thong,20,TH,1537807868,96,14.38,99.89,73.38,1.95
Mayma,64,RU,1537807868,95,52.0,85.9,48.54,4.52
Chokurdakh,44,RU,1537807868,90,70.62,147.9,28.29,6.2
New Norfolk,75,AU,1537806600,70,-42.78,147.06,42.8,12.75
Buraydah,0,SA,1537804800,17,26.33,43.97,104.0,4.7
Bluff,0,AU,1537807929,85,-23.58,149.07,58.62,6.64
Provideniya,36,RU,1537807929,100,64.42,-173.23,42.15,14.03
Yellowknife,75,CA,1537804800,80,62.45,-114.38,39.2,8.05
Port Elizabeth,90,US,1537804560,90,39.31,-74.98,68.0,9.17
Sampit,8,ID,1537807930,92,-2.54,112.95,75.63,3.74
Pisco,75,PE,1537804800,30,-13.71,-76.2,71.6,9.17
Clyde River,0,CA,1537807495,100,70.47,-68.59,25.77,4.74
Saint-Augustin,20,FR,1537806600,42,44.83,-0.61,66.2,14.99
Morondava,0,MG,1537807930,83,-20.3,44.28,77.52,6.76
Cabedelo,75,BR,1537804800,62,-6.97,-34.84,84.2,16.11
Imeni Poliny Osipenko,12,RU,1537807931,79,52.42,136.49,41.07,7.76
Bilma,0,NE,1537807931,17,18.69,12.92,90.66,6.64
Kapaa,1,US,1537804560,97,22.08,-159.32,75.02,3.36
Souillac,0,FR,1537806600,42,45.6,-0.6,64.4,18.34
San Rafael,0,AR,1537807933,23,-34.61,-68.33,65.91,8.88
Luderitz,0,NA,1537807933,87,-26.65,15.16,57.54,11.12
Port Macquarie,40,AU,1537804800,100,-31.43,152.91,51.8,4.7
Burgos,0,ES,1537806600,51,42.34,-3.7,62.6,18.34
Hof,40,DE,1537806000,46,50.32,11.92,52.88,8.05
Hilo,90,US,1537804380,78,19.71,-155.08,71.06,6.93
Atuona,64,PF,1537807935,100,-9.8,-139.03,78.69,7.31
Caravelas,0,BR,1537807936,100,-17.73,-39.27,77.25,12.8
Hamilton,40,BM,1537804500,65,32.3,-64.78,82.4,16.11
Gimli,48,CA,1537807835,100,50.63,-96.99,49.71,10.33
Kokopo,92,PG,1537807936,100,-4.34,152.27,75.81,3.74
Tasiilaq,75,GL,1537804200,74,65.61,-37.64,35.6,5.82
Porto-Vecchio,40,FR,1537806600,64,41.59,9.28,77.0,10.29
Broome,20,GB,1537806000,50,52.47,1.45,59.72,6.93
Bagdarin,20,RU,1537807938,76,54.44,113.59,28.2,2.39
Onda,20,ES,1537806600,69,39.96,-0.26,80.6,11.41
Kolyvan,75,RU,1537804800,81,55.31,82.74,50.0,6.71
Port Augusta,0,AU,1537804800,76,-32.49,137.76,50.0,4.7
Garden City,75,US,1537805700,72,40.73,-73.63,66.92,12.75
Tavda,0,RU,1537807939,84,58.04,65.27,49.26,3.74
Qaanaaq,0,GL,1537807939,100,77.48,-69.36,15.15,7.76
Mataura,8,NZ,1537807939,81,-46.19,168.86,32.79,10.0
Alyangula,0,AU,1537807497,100,-13.85,136.42,74.91,5.3
Hobart,75,AU,1537806600,70,-42.88,147.33,42.8,12.75
Tottori,92,JP,1537807940,100,35.5,134.23,60.78,2.28
Lompoc,90,US,1537806900,89,34.64,-120.46,57.02,4.7
Bada,0,NG,1537807940,67,12.41,4.51,86.07,2.51
Severo-Kurilsk,68,RU,1537807569,100,50.68,156.12,47.82,13.47
Noshiro,92,JP,1537807941,100,40.21,140.05,68.25,11.01
Sorland,75,NO,1537806000,69,67.67,12.69,42.8,23.04
Albany,20,US,1537805160,61,42.65,-73.75,60.8,6.2
Glen Burnie,90,US,1537807680,93,39.16,-76.63,66.92,9.17
San Patricio,20,PY,1537807501,84,-26.98,-56.83,81.39,3.06
